id,entity_legal_form_id:id,name
entity_legal_form_abbreviation_167,entity_legal_form_161,GIE
entity_legal_form_abbreviation_168,entity_legal_form_162,WIV
entity_legal_form_abbreviation_169,entity_legal_form_163,CV PR
entity_legal_form_abbreviation_170,entity_legal_form_164,SC DPU
entity_legal_form_abbreviation_171,entity_legal_form_165,ÖrGen.
entity_legal_form_abbreviation_172,entity_legal_form_166,BVBA SO
entity_legal_form_abbreviation_173,entity_legal_form_167,SPRL FS
entity_legal_form_abbreviation_174,entity_legal_form_168,PmbHsZ
entity_legal_form_abbreviation_175,entity_legal_form_169,BV CVA
entity_legal_form_abbreviation_176,entity_legal_form_170,SC SCA
entity_legal_form_abbreviation_177,entity_legal_form_171,ZRG KGaA
entity_legal_form_abbreviation_178,entity_legal_form_172,MS
entity_legal_form_abbreviation_179,entity_legal_form_173,SDC
entity_legal_form_abbreviation_180,entity_legal_form_174,GaR
entity_legal_form_abbreviation_181,entity_legal_form_175,BV PR
entity_legal_form_abbreviation_182,entity_legal_form_176,SRL DPU
entity_legal_form_abbreviation_183,entity_legal_form_177,ÖrGmbH
entity_legal_form_abbreviation_184,entity_legal_form_178,CVOA
entity_legal_form_abbreviation_185,entity_legal_form_179,SCRI
entity_legal_form_abbreviation_186,entity_legal_form_180,Gen.mubH
entity_legal_form_abbreviation_187,entity_legal_form_181,Comm.V
entity_legal_form_abbreviation_188,entity_legal_form_182,SCS
entity_legal_form_abbreviation_189,entity_legal_form_183,EKG
entity_legal_form_abbreviation_190,entity_legal_form_184,CommV
entity_legal_form_abbreviation_191,entity_legal_form_185,SComm
entity_legal_form_abbreviation_192,entity_legal_form_186,KommG
entity_legal_form_abbreviation_193,entity_legal_form_187,BVBA
entity_legal_form_abbreviation_194,entity_legal_form_188,SPRL
entity_legal_form_abbreviation_195,entity_legal_form_189,PGmbH
entity_legal_form_abbreviation_196,entity_legal_form_190,ESV SO
entity_legal_form_abbreviation_197,entity_legal_form_191,GIE FS
entity_legal_form_abbreviation_198,entity_legal_form_192,WIVmsZ
entity_legal_form_abbreviation_199,entity_legal_form_193,BV CVBA
entity_legal_form_abbreviation_200,entity_legal_form_194,SC SCRL
entity_legal_form_abbreviation_201,entity_legal_form_195,ZvGGbH
entity_legal_form_abbreviation_202,entity_legal_form_196,EBVBA SO
entity_legal_form_abbreviation_203,entity_legal_form_197,SPRLU FS
entity_legal_form_abbreviation_204,entity_legal_form_198,PgbHsZ
entity_legal_form_abbreviation_205,entity_legal_form_199,OI
entity_legal_form_abbreviation_206,entity_legal_form_200,ETSPUBLI
entity_legal_form_abbreviation_207,entity_legal_form_201,ÖE
entity_legal_form_abbreviation_208,entity_legal_form_202,NV
